grantor,grantee,table_schema,table_name,privilege_type,is_grantable
supabase_auth_admin,postgres,auth,audit_log_entries,DELETE,NO
supabase_auth_admin,postgres,auth,audit_log_entries,INSERT,NO
supabase_auth_admin,postgres,auth,audit_log_entries,REFERENCES,NO
supabase_auth_admin,postgres,auth,audit_log_entries,SELECT,YES
supabase_auth_admin,postgres,auth,audit_log_entries,TRIGGER,NO
supabase_auth_admin,postgres,auth,audit_log_entries,TRUNCATE,NO
supabase_auth_admin,postgres,auth,audit_log_entries,UPDATE,NO
supabase_auth_admin,postgres,auth,custom_oauth_providers,DELETE,NO
supabase_auth_admin,postgres,auth,custom_oauth_providers,INSERT,NO
supabase_auth_admin,postgres,auth,custom_oauth_providers,REFERENCES,NO
supabase_auth_admin,postgres,auth,custom_oauth_providers,SELECT,NO
supabase_auth_admin,postgres,auth,custom_oauth_providers,TRIGGER,NO
supabase_auth_admin,postgres,auth,custom_oauth_providers,TRUNCATE,NO
supabase_auth_admin,postgres,auth,custom_oauth_providers,UPDATE,NO
supabase_auth_admin,postgres,auth,flow_state,DELETE,NO
supabase_auth_admin,postgres,auth,flow_state,INSERT,NO
supabase_auth_admin,postgres,auth,flow_state,REFERENCES,NO
supabase_auth_admin,postgres,auth,flow_state,SELECT,YES
supabase_auth_admin,postgres,auth,flow_state,TRIGGER,NO
supabase_auth_admin,postgres,auth,flow_state,TRUNCATE,NO
supabase_auth_admin,postgres,auth,flow_state,UPDATE,NO
supabase_auth_admin,postgres,auth,identities,DELETE,NO
supabase_auth_admin,postgres,auth,identities,INSERT,NO
supabase_auth_admin,postgres,auth,identities,REFERENCES,NO
supabase_auth_admin,postgres,auth,identities,SELECT,YES
supabase_auth_admin,postgres,auth,identities,TRIGGER,NO
supabase_auth_admin,postgres,auth,identities,TRUNCATE,NO
supabase_auth_admin,postgres,auth,identities,UPDATE,NO
supabase_auth_admin,postgres,auth,instances,DELETE,NO
supabase_auth_admin,postgres,auth,instances,INSERT,NO
supabase_auth_admin,postgres,auth,instances,REFERENCES,NO
