schemaname,tablename,indexname,indexdef
public,log_pelanggaran,log_pelanggaran_pkey,CREATE UNIQUE INDEX log_pelanggaran_pkey ON public.log_pelanggaran USING btree (id)
public,manage_users,manage_users_email_key,CREATE UNIQUE INDEX manage_users_email_key ON public.manage_users USING btree (email)
public,manage_users,manage_users_pkey,CREATE UNIQUE INDEX manage_users_pkey ON public.manage_users USING btree (id)
public,master_jenis,master_jenis_pkey,CREATE UNIQUE INDEX master_jenis_pkey ON public.master_jenis USING btree (id)
public,master_role,master_role_pkey,CREATE UNIQUE INDEX master_role_pkey ON public.master_role USING btree (id)
public,pengajuan_santri,idx_pengajuan_jenis,CREATE INDEX idx_pengajuan_jenis ON public.pengajuan_santri USING btree (jenis_pengajuan)
public,pengajuan_santri,idx_pengajuan_status,CREATE INDEX idx_pengajuan_status ON public.pengajuan_santri USING btree (status_pengajuan)
public,pengajuan_santri,pengajuan_santri_pkey,CREATE UNIQUE INDEX pengajuan_santri_pkey ON public.pengajuan_santri USING btree (id)
public,pengguna,pengguna_pkey,CREATE UNIQUE INDEX pengguna_pkey ON public.pengguna USING btree (id)
public,santri,idx_santri_nama,CREATE INDEX idx_santri_nama ON public.santri USING btree (nama_lengkap)
public,santri,idx_santri_nis,CREATE INDEX idx_santri_nis ON public.santri USING btree (nis)
public,santri,idx_santri_status,CREATE INDEX idx_santri_status ON public.santri USING btree (status)
public,santri,santri_emis_id_key,CREATE UNIQUE INDEX santri_emis_id_key ON public.santri USING btree (emis_id)
public,santri,santri_kode_unik_key,CREATE UNIQUE INDEX santri_kode_unik_key ON public.santri USING btree (kode_unik)
public,santri,santri_pkey,CREATE UNIQUE INDEX santri_pkey ON public.santri USING btree (id)
public,santri_catatan,santri_catatan_pkey,CREATE UNIQUE INDEX santri_catatan_pkey ON public.santri_catatan USING btree (id)
public,santri_prestasi,santri_prestasi_pkey,CREATE UNIQUE INDEX santri_prestasi_pkey ON public.santri_prestasi USING btree (id)
