member_role,granted_role,grantor_role
authenticator,anon,supabase_admin
authenticator,authenticated,supabase_admin
authenticator,service_role,supabase_admin
cli_login_postgres,postgres,supabase_admin
pg_monitor,pg_read_all_settings,supabase_admin
pg_monitor,pg_read_all_stats,supabase_admin
pg_monitor,pg_stat_scan_tables,supabase_admin
postgres,anon,supabase_admin
postgres,authenticated,supabase_admin
postgres,authenticator,supabase_admin
postgres,pg_create_subscription,supabase_admin
postgres,pg_monitor,supabase_admin
postgres,pg_read_all_data,supabase_admin
postgres,pg_signal_backend,supabase_admin
postgres,service_role,supabase_admin
postgres,supabase_privileged_role,supabase_admin
supabase_etl_admin,pg_monitor,supabase_admin
supabase_etl_admin,pg_read_all_data,supabase_admin
supabase_etl_admin,supabase_privileged_role,supabase_admin
supabase_read_only_user,pg_monitor,supabase_admin
supabase_read_only_user,pg_read_all_data,supabase_admin
supabase_storage_admin,authenticator,supabase_admin
