role_name,is_superuser,inherits_privileges,can_create_role,can_create_database,can_login,replication,bypass_rls
anon,false,true,false,false,false,false,false
authenticated,false,true,false,false,false,false,false
authenticator,false,false,false,false,true,false,false
cli_login_postgres,false,false,false,false,true,false,false
dashboard_user,false,true,true,true,false,true,false
pg_checkpoint,false,true,false,false,false,false,false
pg_create_subscription,false,true,false,false,false,false,false
pg_database_owner,false,true,false,false,false,false,false
pg_execute_server_program,false,true,false,false,false,false,false
pg_maintain,false,true,false,false,false,false,false
pg_monitor,false,true,false,false,false,false,false
pg_read_all_data,false,true,false,false,false,false,false
pg_read_all_settings,false,true,false,false,false,false,false
pg_read_all_stats,false,true,false,false,false,false,false
pg_read_server_files,false,true,false,false,false,false,false
pg_signal_backend,false,true,false,false,false,false,false
pg_stat_scan_tables,false,true,false,false,false,false,false
pg_use_reserved_connections,false,true,false,false,false,false,false
pg_write_all_data,false,true,false,false,false,false,false
pg_write_server_files,false,true,false,false,false,false,false
pgbouncer,false,true,false,false,true,false,false
postgres,false,true,true,true,true,true,true
service_role,false,true,false,false,false,false,true
supabase_admin,true,true,true,true,true,true,true
supabase_auth_admin,false,false,true,false,true,false,false
supabase_etl_admin,false,true,false,false,true,true,true
supabase_privileged_role,false,true,false,false,false,false,false
supabase_read_only_user,false,true,false,false,true,false,true
supabase_realtime_admin,false,false,false,false,false,false,false
supabase_replication_admin,false,true,false,false,true,true,false
supabase_storage_admin,false,false,true,false,true,false,false
